coin,model,RMSE,MAE,MAPE,R2,epochs,final_lr
BTC,GRU-Full,2661.9398,2049.4955,2.2994,0.974,58.0,0.0
BTC,GRU-OnChain,2838.9351,2164.2994,2.4449,0.9704,57.0,0.0001
BTC,GRU-Price,2610.8921,1940.5696,2.1933,0.975,87.0,0.0
BTC,GRU-Sentiment,2652.3858,2036.7827,2.2963,0.9742,57.4,0.0001
BTC,LSTM-Full,3647.4283,2766.3187,3.0881,0.9507,44.6,0.0001
BTC,LSTM-OnChain,3362.0338,2534.45,2.8352,0.9585,60.4,0.0
BTC,LSTM-Price,3192.4365,2439.8589,2.7052,0.9626,100.4,0.0
BTC,LSTM-Sentiment,3500.4395,2648.4188,2.9519,0.9546,46.8,0.0001
ETH,GRU-Full,150.126,115.9584,4.0373,0.9622,60.0,0.0001
ETH,GRU-OnChain,154.4303,119.4668,4.1348,0.9599,70.2,0.0
ETH,GRU-Price,130.3449,95.7204,3.1989,0.9717,93.2,0.0
ETH,GRU-Sentiment,138.0408,103.7028,3.4208,0.9679,64.0,0.0001
ETH,LSTM-Full,171.6464,132.5359,4.5754,0.9503,78.0,0.0
ETH,LSTM-OnChain,165.0367,129.7555,4.5358,0.9544,86.6,0.0
ETH,LSTM-Price,142.5681,107.5328,3.5875,0.9661,111.6,0.0
ETH,LSTM-Sentiment,173.3166,133.5083,4.4857,0.9486,61.4,0.0001
SOL,GRU-Full,7.4684,5.5505,3.9413,0.9726,64.0,0.0
SOL,GRU-OnChain,7.4766,5.3745,3.9178,0.9725,63.6,0.0
SOL,GRU-Price,6.9556,4.9756,3.5761,0.9763,132.6,0.0
SOL,GRU-Sentiment,7.2268,5.3773,3.8479,0.9744,86.6,0.0
SOL,LSTM-Full,8.4612,6.1653,4.2927,0.9649,93.2,0.0
SOL,LSTM-OnChain,8.0403,5.7683,4.1541,0.9683,92.8,0.0
SOL,LSTM-Price,7.9392,5.5705,3.9837,0.9691,136.6,0.0
SOL,LSTM-Sentiment,8.1544,5.9736,4.2047,0.9674,105.8,0.0
