coin,model,epochs_med,epochs_min,epochs_max,lr_red_med,lr_red_min,lr_red_max
BTC,LSTM-Price,97,80,127,8,7,10
BTC,LSTM-Sentiment,46,29,64,4,2,4
BTC,LSTM-OnChain,57,48,84,4,3,6
BTC,LSTM-Full,42,31,64,3,2,5
BTC,GRU-Price,82,65,133,6,4,12
BTC,GRU-Sentiment,59,44,72,4,2,5
BTC,GRU-OnChain,55,39,72,3,2,5
BTC,GRU-Full,58,49,64,4,3,5
ETH,LSTM-Price,102,92,140,6,6,9
ETH,LSTM-Sentiment,62,30,97,4,2,6
ETH,LSTM-OnChain,79,58,117,4,4,8
ETH,LSTM-Full,88,44,106,5,3,8
ETH,GRU-Price,99,71,109,7,4,8
ETH,GRU-Sentiment,71,32,85,4,2,6
ETH,GRU-OnChain,77,49,84,5,3,6
ETH,GRU-Full,63,47,70,3,2,4
SOL,LSTM-Price,138,130,140,10,9,11
SOL,LSTM-Sentiment,107,91,119,7,5,9
SOL,LSTM-OnChain,94,70,113,6,4,7
SOL,LSTM-Full,99,78,106,6,4,7
SOL,GRU-Price,142,106,150,12,9,12
SOL,GRU-Sentiment,85,55,112,7,4,9
SOL,GRU-OnChain,65,37,87,5,3,7
SOL,GRU-Full,74,45,79,4,3,6
